Date,Type,Label,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2021-04-17 14:45:43 UTC,fiat_deposit,"","","","","",Voyager,5000.0,USD,"","","","",5000.0,"","","",mgj4dks2q3hb,""
2021-04-17 15:05:11 UTC,buy,"",Voyager,5000.0,USD,"",Voyager,19052.85949126,DOGE,5000.0,"","","",5000.0,"","","",vs89jacxhgtg,""
2021-04-26 21:22:20 UTC,crypto_deposit,staking,"","","","",Voyager,0.00047414,BTC,25.0,"","","",25.0,"","","",bxvj7g6vq1ah,""
2021-05-01 07:40:59 UTC,crypto_deposit,loan_interest,"","","","",Voyager,13.76039852,DOGE,5.02,"","","",5.02,"","","",6675xrjtsreg,""
2021-05-07 23:19:29 UTC,sell,"",Voyager,5000.0,DOGE,1312.1389999999,Voyager,3408.99,USD,"","","",2096.8510000001,3408.99,"","","",8vbdk5fdfmgg,""
2021-05-07 23:20:59 UTC,sell,"",Voyager,4006.6,DOGE,1051.4432234799,Voyager,2711.3,USD,"","","",1659.8567765201,2711.3,"","","",t34y08vk7f3h,""
2021-05-14 21:41:01 UTC,buy,"",Voyager,3120.99,USD,"",Voyager,507256.17575402,BTT,3120.99,"","","",3120.99,"","","",1an30y8hw295,""
2021-05-22 06:25:01 UTC,crypto_withdrawal,"",Coinbase,0.00032159,BTC,2.4944066079,"","","","","","",9.0955933921,11.59,"","",bc1qwcgrde06r7ev83pst04qspeuuwx5xeuywnjjtj,adb7eddc1973872755ac522ceec1c99ca9de6b5a099ba3df3720376df652b13b,Sent Bitcoin To Bitcoin address bc1qwcgrde06r7ev83pst04qspeuuwx5xeuywnjjtj
2021-05-22 06:46:15 UTC,fiat_deposit,"","","","","",Coinbase,1000.0,USD,"","","","",1000.0,"",Commerce Bank - CHECKING *****93,"","",Deposited funds From Commerce Bank - CHECKING *****93
2021-05-22 06:51:25 UTC,crypto_withdrawal,"",Coinbase,0.0254633,BTC,197.5055933921,"","","","","","",725.4944066079,923.0,"","",bc1qwcgrde06r7ev83pst04qspeuuwx5xeuywnjjtj,b265c043c524bd235b933ca95475c9628284d7bb57fadefb1f28b5bfcf5111e1,Sent Bitcoin To Bitcoin address bc1qwcgrde06r7ev83pst04qspeuuwx5xeuywnjjtj
2021-05-22 08:01:47 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,0.2893428,BNB,90.5721360622,"","","",90.5721360622,"",0xad9ffffd4573b642959d3b854027735579555cbc,0xdf4a44530df09846df19ae5badb6565bac12933b,b4c844eb9afcfa3e6bd215a7b82cd0730f9deb385f4186e58fa65ea569109896,""
2021-05-22 08:42:35 UTC,exchange,"",Binance Smart Chain (BNB) 2,0.28361379,BNB,88.7788007063,Binance Smart Chain (BNB) 2,17231474.354316678,SAFEMOON,88.7788007062,"","",-0.0000000001,88.7788007062,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,890f6815e3f29b24047851e3359875872b716cfbce7b7b3245d85bdb75b57b9a,""
2021-05-22 09:19:11 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.4042649,BNB,753.7112775754,"","","",753.7112775754,"",0x7a8a34db9acd10c3b6277473b192fe47192569ca,0xdf4a44530df09846df19ae5badb6565bac12933b,7c78da603831f6b38cfe6de2e005dcc1acee62cd39c922ee36fe16cfafcffb62,""
2021-05-22 09:22:11 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.40418996,BNB,753.6851368122,Binance Smart Chain (BNB) 2,152039394.033769025,SAFEMOON,753.6877846886,"","",0.0026478764,753.6877846886,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,58d368cc5a5d002a8d54de27f7a28d88ae148ce65fd8f58faff5484db00d8942,""
2021-05-23 02:59:02 UTC,buy,"",Coinbase,985.32,USD,"",Coinbase,661.907852,ADA,1000.0,14.68,USD,"",985.32,14.68,"","",c42c6df4-727a-59d3-9f4c-b7587e5cd53c,""
2021-05-23 02:59:02 UTC,fiat_deposit,"","","","","",Coinbase,1000.0,USD,"","","","",1000.0,"",Commerce Bank - CHECKING *****93,"","",Bought Cardano Using Commerce Bank - CHECKING *****93
2021-05-24 02:09:04 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1480129,BNB,852.7109488457,"","","",852.7109488457,"",0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,0xdf4a44530df09846df19ae5badb6565bac12933b,24729e06d40c31dabbfeb70b756fb8bedac7afa13ff39b4b053194642f9c070f,""
2021-05-24 02:11:16 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.14795248,BNB,852.9419268659,Binance Smart Chain (BNB) 2,211197981.430414783,SAFEMOON,852.6945827135,"","",-0.2473441524,852.6945827135,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,1c0dba4676da32da5eb5c42b2a6b2cbaf1d9bc38bf97868f99cd81e7d0a25898,""
2021-05-30 17:30:27 UTC,fiat_withdrawal,"",Coinbase,1000.0,USD,"","","","","","","","",1000.0,"","",Commerce Bank - CHECKING *****93,"",Withdrew funds To Commerce Bank - CHECKING *****93
2021-06-01 07:47:49 UTC,crypto_deposit,loan_interest,"","","","",Voyager,20.15480085,DOGE,6.69,"","","",6.69,"","","",n869yv4cvpwb,""
2021-06-15 01:12:01 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.4513725,BNB,903.2839238064,"","","",903.2839238064,"",0x8ff804cc2143451f454779a40de386f913dcff20,0xdf4a44530df09846df19ae5badb6565bac12933b,e962dff26b477d265eb41359d89039d9578766eee819f3a04b88b62d0053150c,""
2021-06-15 01:13:28 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.451669015,BNB,902.820773732,Binance Smart Chain (BNB) 2,196461101.626314546,SAFEMOON,903.3931839179,"","",0.5724101859,903.3931839179,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,217b5eda1deb10ce314e786c0f3d4a1f114bd44f25f8020c9b6716f038e465d8,""
2021-06-15 01:22:43 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.455098,BNB,904.6566993671,"","","",904.6566993671,"",0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,0xdf4a44530df09846df19ae5badb6565bac12933b,7b954862989fbb91636c3564768d63ed1d36f77ee77981143bc6d1cfdd71ee61,""
2021-06-15 01:24:19 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.455098,BNB,904.6566993671,Binance Smart Chain (BNB) 2,196374528.548880002,SAFEMOON,904.6566993671,"","","",904.6566993671,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,e885fde1bdc6e228a2e8c7a0487e6284edf8c41d70a02ea386bd44e199a8a9a5,""
2021-06-19 01:27:29 UTC,buy,"",Voyager,999.3,USD,"",Voyager,131833773.087071,SHIB,999.3,"","","",999.3,"","","",g4mvmj5164vt,""
2021-06-22 02:59:42 UTC,buy,"",Voyager,500.0,USD,"",Voyager,71633237.8223496,SHIB,500.0,"","","",500.0,"","","",qb497q10hnpx,""
2021-06-25 20:29:14 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1661964,BNB,901.002714093,"","","",901.002714093,"",0x25508c3eb1f882b6d357e72e952f5559284ddeb6,0xdf4a44530df09846df19ae5badb6565bac12933b,2a6c29d6a30f5829abf86f34d6c1031ebe595d726a4bcd52ccbc294a60a116ef,""
2021-06-25 21:27:26 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.1666686,BNB,901.6042946125,Binance Smart Chain (BNB) 2,299115085.518314431,SAFEMOON,896.0922548592,"","",-5.5120397533,896.0922548592,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,742323add7b07a0927401f0beb00e8523f774f97238342ff30be8fcccabd8f37,""
2021-06-27 18:08:16 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.8373333,BNB,771.9361768207,"","","",771.9361768207,"",0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,0xdf4a44530df09846df19ae5badb6565bac12933b,5fe76dc6cf4ef070d27a8be00d50dac7bc403c4abdef02498a7d35969f83a9d9,""
2021-06-27 18:43:00 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.8373333,BNB,771.9999003185,Binance Smart Chain (BNB) 2,244259336.581412088,SAFEMOON,771.9361768207,"","",-0.0637234978,771.9361768207,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,4af3679534cd4ff21c140233468e3ea340b522b7a7aad8e1829a90d9af61f5f8,""
2021-06-28 18:33:40 UTC,buy,"",Voyager,1500.0,USD,"",Voyager,184049079.754601,SHIB,1500.0,"","","",1500.0,"","","",qvjbyrzjdhqw,""
2021-07-01 16:41:26 UTC,crypto_deposit,loan_interest,"","","","",Voyager,18.89906787,DOGE,4.53,"","","",4.53,"","","",vfdnfhhfmnbw,""
2021-07-05 18:59:56 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,0.2999911,BNB,90.4151344628,"","","",90.4151344628,"",0x3c783c21a0383057d128bae431894a5c19f9cf06,0xdf4a44530df09846df19ae5badb6565bac12933b,49411795cbc01e473bc11f0b71fafb55b42db9af4eec1302a3646e8bd5862fef,""
2021-07-05 19:28:11 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.9920081,BNB,906.4760349605,"","","",906.4760349605,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,4d30d903068701725607e64fc1c75c0863be399882f069766462e39f5e00cfb2,""
2021-07-05 19:49:10 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2919992,BNB,996.7337045435,Binance Smart Chain (BNB) 2,304500313.332910566,SAFEMOON,997.3630692741,"","",0.6293647307,997.3630692741,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,cc3e28c2b7c7dc6fb31de7bed60b1e054af55d177459cecfc8dab37906cc5574,""
2021-07-05 19:54:31 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.9934313,BNB,906.907215843,"","","",906.907215843,"",0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0xdf4a44530df09846df19ae5badb6565bac12933b,b88a97fbbf78451713603e9b99e5dc3d073aff18f478c12a13195f03f96591e3,""
2021-07-05 19:57:31 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.99337088,BNB,906.8889106512,Binance Smart Chain (BNB) 2,276729183.090931863,SAFEMOON,906.8889106512,"","","",906.8889106512,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,f4354fc9167876a8a61234d2e3f45dabd6443e3f4088bd3093d61e6640e68572,""
2021-07-05 22:28:28 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.9650081,BNB,902.9380322428,"","","",902.9380322428,"",0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,0xdf4a44530df09846df19ae5badb6565bac12933b,034f40eee873fbb762303f70c893341cf2a1d8fa4380d7d60f01b59a0f313c1e,""
2021-07-05 22:32:34 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.96506852,BNB,902.9483595803,Binance Smart Chain (BNB) 2,277685785.462478472,SAFEMOON,902.9564320293,"","",0.008072449,902.9564320293,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,e94a07d1e3aa16c96fee841010a98490abcd25e7d8303c53248bcc0896662602,""
2021-07-09 00:14:12 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.95058824,BNB,914.446879932,"","","",914.446879932,"",0x1f67a284263bc84ff57e1503ba85b222f94ed34e,0xdf4a44530df09846df19ae5badb6565bac12933b,ca89198bcdd9e6dbbed18443db04f30f9c724afb4b465b09f175c1013b2431df,""
2021-07-09 00:26:39 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.95052782,BNB,914.4006950575,Binance Smart Chain (BNB) 2,286945599.298121518,SAFEMOON,892.6224336028,"","",-21.7782614547,892.6224336028,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,200d619a91f17b1320bd5d49ae87023d3a3c6013a01fd26285f232ba57efbe11,""
2021-07-10 21:00:57 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,2.915196,BNB,916.2867156199,"","","",916.2867156199,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,920f2a374d86c1bb8128947cd2d3aa031e4f1b6bcdaceb4706d86f0f72540c30,""
2021-07-10 21:05:18 UTC,exchange,"",Binance Smart Chain (BNB) 2,1.0049358269,BNB,315.8426761384,Binance Smart Chain (BNB) 2,99540000.9,SAFEMOON,315.8653305777,"","",0.0226544393,315.8653305777,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,6b6e4b8f3fbb1f711057a079835df8647d6de64d346cb7b8e61b92a967717a11,""
2021-07-10 21:08:15 UTC,exchange,"",Binance Smart Chain (BNB) 2,1.0050198024,BNB,315.8917252473,Binance Smart Chain (BNB) 2,99520200.9,SAFEMOON,315.8917252473,"","","",315.8917252473,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,045f5f82e1749bd90fabc1e6d1ea1f1258469e1668c17162eb973fa9e589dce8,""
2021-07-10 21:13:21 UTC,exchange,"",Binance Smart Chain (BNB) 2,0.8914510877,BNB,280.1954960436,Binance Smart Chain (BNB) 2,88200000.0,SAFEMOON,280.1954960436,"","","",280.1954960436,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,988abd9f7eaa2ab3df752ff69a2682399c48e07fdbe2d8fe83cd8f2abf3d5e35,""
2021-07-14 05:08:54 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1959868,BNB,939.1663408494,"","","",939.1663408494,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,86cab09d293e7377c1a14e5edec6630c8d230840dcbe5dcfebcae06b638f1277,""
2021-07-14 05:13:12 UTC,exchange,"",Binance Smart Chain (BNB) 2,1.0049456375,BNB,295.6988760617,Binance Smart Chain (BNB) 2,99230400.0,SAFEMOON,295.3113314246,"","",-0.3875446371,295.3113314246,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,8cd7f66a0277b3bea6ad4756f8d7d8fe95fb46f9cd7d99afc8088f0df834ce13,""
2021-07-14 05:15:06 UTC,exchange,"",Binance Smart Chain (BNB) 2,2.1849950168,BNB,642.0783010437,Binance Smart Chain (BNB) 2,216313200.0,SAFEMOON,642.0783010437,"","","",642.0783010437,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,2133aa9804fb3e4fa1739a4d20d4884378ee3d02229042b009bd5493187b13c2,""
2021-07-14 11:10:39 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.1079871,BNB,943.7495171798,"","","",943.7495171798,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,85a629652aa035e2c0999776a1cc2ab170b4d64c57d4b4c15263d319d8d78842,""
2021-07-14 11:15:06 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.1052265578,BNB,942.6664796863,Binance Smart Chain (BNB) 2,311814000.0,SAFEMOON,942.9112703388,"","",0.2447906525,942.9112703388,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,775627e0449948b5dbf946cbb2d1ad30aa17e1f4aa780415a994104e6bd14515,""
2021-07-16 21:10:39 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",6ed1499dc25b41d2b39f8debcbc4532b,""
2021-07-16 21:10:47 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",9e54b6fe1bb048c985286fe5c49ec94c,""
2021-07-16 21:12:53 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",c8e8979da0204dd1a5a4fb3e6dff824c,""
2021-07-16 21:12:58 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",d0b0fdfbbe9047628cfd9b84cc84f500,""
2021-07-16 21:26:20 UTC,fiat_deposit,"","","","","",Binance US,50.0,USD,"","","","",50.0,"","","",77f2c21d0725415a975d659d54ffe55c,""
2021-07-16 21:26:26 UTC,buy,"",Binance US,50.0,USD,"",Binance US,0.16,BNB,50.0,"","","",50.0,"","","",d643633b7ffe49678e1b45092f1623f4,""
2021-07-17 02:43:28 UTC,crypto_deposit,"","","","","",Binance Smart Chain (BNB) 2,3.232,BNB,957.8835005267,"","","",957.8835005267,"",0x515b72ed8a97f42c568d6a143232775018f133c8,0xdf4a44530df09846df19ae5badb6565bac12933b,57a49a8fb75dccf7fff72349c5980e986118e9ce6f991574f0a03c88254dec45,""
2021-07-17 02:47:13 UTC,exchange,"",Binance Smart Chain (BNB) 2,3.2059504623,BNB,958.1051298737,Binance Smart Chain (BNB) 2,315741600.0,SAFEMOON,950.1630728166,"","",-7.9420570571,950.1630728166,"",0xdf4a44530df09846df19ae5badb6565bac12933b,0x10ed43c718714eb63d5aa57b78b54704e256024e,c83b21d7b89c70a43929fbec2caaa5bbee5795b1f502fd454ffd3674a5b13d96,""
